ID,Name,Level,Alignment,Size,Traits,Perception,Languages,Skills,Str,Dex,Con,Int,Wis,Cha,AC,Fort,Ref,Will,HP,Resistances,Speed,Source
299,Merfolk Wavecaller,2,,Medium,"Amphibious, Humanoid, Merfolk",+8;,"Common, Thalassic","Athletics +7 (+9 to, Swim ), Deception +6, Nature +8, Religion +8",+3,+2,+0,+1,+4,+2,17,+6,+6,+10,30,,"5 feet, swim 30 feet",Monster Core pg. 231
300,Mimic,4,N,Medium,Aberration,+9; darkvision,Common,"Athletics +12, Deception +8, Dwelling Lore +10 (applies only to the dungeon it lives in)",+4,+1,+3,+0,+1,+0,20,+11,+9,+9,75,,10 feet,Bestiary pg. 236
301,Minotaur,4,,Large,"Beast, Humanoid",+12;,"Common, Jotun","Athletics +14, Intimidation +9, Survival +12 (perfect orienteering)",+6,+0,+3,-2,+2,-1,20,+13,+8,+10,70,,25 feet,Monster Core pg. 232
302,Mu Spore,21,CN,Gargantuan,Fungus,"+36; low-light vision, windsense 240 feet","Aklo, Common, Terran, Undercommon","Acrobatics +26, Athletics +41, Nature +38, Occultism +36",+10,+3,+9,+4,+9,+9,45,+38,+32,+38,350 regeneration 50 (deactivated by,acid 20 all (except sonic) 10,"40 feet, fly 50 feet",Bestiary pg. 238
303,Mukradi,15,,Gargantuan,Beast,"+24; , ( ) 60 feet",UNKNOWN,Athletics +32,+9,+0,+7,-3,+3,+0,37,+32,+23,+26,300,,"60 feet, burrow 60 feet, climb 60 feet",Monster Core pg. 233
304,Mummy Guardian,6,,Medium,"Mummy, Undead, Unholy",+16;,"Necril, ; plus any one language they knew while alive","Athletics +15, Stealth +11",+4,+0,+2,-2,+4,+2,23,+14,+10,+16,125 (,,20 feet,Monster Core pg. 234
305,Mummy Pharaoh,9,,Medium,"Mummy, Undead, Unholy",+20;,"Necril, ; plus any two languages they knew while alive","Deception +18, Intimidation +20, Occultism +15, Religion +20, Stealth +13",+5,+2,+4,+0,+5,+5,27,+19,+15,+20; +1 status to all saves vs.,175 (sacred wrappings,,20 feet,Monster Core pg. 235
306,Dark Naga,7,LE,Large,Aberration,"+15; 30 feet, darkvision","Aklo, Common","Acrobatics +17, Arcana +16, Athletics +13, Deception +16, Intimidation +16, Stealth +19",+2,+6,+4,+3,+2,+3,27,+15,+17,+15; guarded thoughts,115,,30 feet,Bestiary pg. 242
307,Guardian Naga,10,LG,Large,Aberration,+22; darkvision,"Celestial, Common","Acrobatics +22, Deception +18, Diplomacy +21, Heaven Lore +21, Stealth +20",+5,+6,+5,+3,+5,+4,31,+20,+21,+22,175,,25 feet,Bestiary pg. 243
308,Nightmare,6,,Large,"Beast, Fiend, Unholy",+14;,"Chthonian, Daemonic, Diabolic","Acrobatics +13, Athletics +16, Intimidation +14, Survival +12",+6,+3,+3,+1,+4,+2,24,+15,+15,+12,100,,"40 feet, fly 90 feet",Monster Core pg. 238
309,Greater Nightmare,11,,Huge,"Beast, Fiend, Unholy",+22;,"Chthonian, Daemonic, Diabolic","Acrobatics +23, Athletics +24, Intimidation +22, Survival +20",+7,+4,+5,+2,+5,+3,31,+25,+24,+21,200,,"60 feet, fly 120 feet",Monster Core pg. 238
310,Nilith,10,,Medium,Aberration,+19;,"Aklo, Common, telepathy, 30 feet","Acrobatics +21, Athletics +17, Intimidation +23, Occultism +19, Stealth +21, Survival +17",+3,+5,+4,+3,+3,+5,32,+17,+20,+20,150,,"25 feet, climb 30 feet",Monster Core pg. 239
311,Naiad,1,,Medium,"Amphibious, Fey, Nymph, Water",+6;,"Common, Elven, Fey, Thalassic","Acrobatics +6, Athletics +3, Diplomacy +7, Nature +6, Stealth +6, Survival +4",+0,+3,+0,+1,+1,+4,14,+3,+6,+8,20,,"25 feet, swim 25 feet",Monster Core pg. 244
312,Dryad,3,,Medium,"Fey, Nymph, Plant, Wood",+10;,"Common, Elven, Fey, Muan","Acrobatics +9, Athletics +5, Crafting +7 (+9 woodworking), Diplomacy +9, Nature +13, Stealth +9, Survival +12",+0,+4,+1,+2,+3,+4,17,+6,+11,+10,55,,25 feet,Monster Core pg. 244
313,Naiad Queen,7,,Medium,"Amphibious, Fey, Nymph, Water",+18;,"Common, Elven, Fey, Thalassic","Acrobatics +16, Athletics +9 (+13 to Swim), Diplomacy +20, Medicine +15, Nature +15, Performance +20, Stealth +14, Survival +15",+0,+5,+4,+3,+4,+7,26,+15,+18,+17,100,,"25 feet, swim 25 feet",Monster Core pg. 246
314,Dryad Queen,13,,Medium,"Fey, Nymph, Plant, Wood",+25;,"Common, Elven, Fey, Muan","Acrobatics +25, Athletics +19, Crafting +23 (+25 woodworking), Deception +30, Diplomacy +30, Intimidation +27, Nature +24, Performance +28, Stealth +25, Survival +24",+2,+6,+6,+4,+4,+8,35,+24,+26,+24,220,,30 feet,Monster Core pg. 247
315,Octopus,8,,Huge,"Animal, Aquatic",+15;,UNKNOWN,"Acrobatics +17, Athletics +20, Stealth +17",+6,+3,+4,-4,+3,-2,27,+16,+17,+15,135,,"15 feet, swim 40 feet; compression",Monster Core pg. 248
316,Ofalth,10,CE,Large,Aberration,+18; darkvision,"Common, ; (can’t speak any language)","Athletics +23, Stealth +19 (+23 in trash and rubbish)",+7,+3,+6,-2,+2,-2,31,+22,+17,+18,170 (filth wallow),,30 feet,Bestiary pg. 251
317,Ogre Warrior,3,,Large,"Giant, Humanoid",+5;,Jotun,"Athletics +12, Intimidation +9",+5,-1,+4,-2,+0,-2,17,+11,+6,+5,50,,25 feet,Monster Core pg. 250
318,Ogre Glutton,4,,Large,"Giant, Humanoid",+6;,Jotun,"Athletics +12, Intimidation +10, Survival +6",+6,-1,+4,-2,+0,-2,18,+14,+7,+6,70,,30 feet,Monster Core pg. 250
319,Ogre Boss,7,,Large,"Giant, Humanoid",+12;,"Common, Jotun","Athletics +16, Intimidation +16, Stealth +11",+7,+0,+4,+0,+1,+1,25,+17,+12,+15,130,,25 feet,Monster Core pg. 251
320,Sewer Ooze,1,,Medium,"Mindless, Ooze","+3; motion sense ( ) 60 feet, no vision",UNKNOWN,Stealth +1 (+4 in sewers),+2,-5,+4,-5,+0,-5,8,+9,+1,+3,40,,10 feet,Monster Core pg. 256
321,Gelatinous Cube,3,N,Large,"Mindless, Ooze","+5; motion sense 60 feet, no vision",UNKNOWN,Athletics +11 (+13 to Shove),+4,-5,+5,-5,+0,-5,10,+12,+0,+5,90,electricity 5,15 feet,Bestiary pg. 254
322,Ochre Jelly,5,N,Large,"Mindless, Ooze","+7; motion sense 60 feet, no vision",UNKNOWN,Athletics +13,+4,-5,+6,-5,+0,-5,12,+15,+4,+7,150,,"15 feet, climb 10 feet",Bestiary pg. 255
323,Black Pudding,7,N,Huge,"Mindless, Ooze","+9; motion sense 60 feet, no vision",UNKNOWN,Athletics +18,+7,-5,+7,-5,+0,-5,14,+18,+6,+11,165,,"20 feet, climb 20 feet; suction",Bestiary pg. 255
324,Orc Brute,0,CE,Medium,"Humanoid, Orc",+5; darkvision,Orcish,"Athletics +5, Intimidation +2",+3,+2,+3,-1,+1,+0,15,+6,+4,+2,15,,25 feet,Bestiary pg. 256
325,Orc Warrior,1,CE,Medium,"Humanoid, Orc",+6; darkvision,Orcish,"Athletics +7, Intimidation +4, Survival +4",+4,+2,+3,-1,+1,+0,18,+8,+7,+4,23,,25 feet,Bestiary pg. 257
326,Orc Warchief,2,CE,Medium,"Humanoid, Orc",+11; darkvision,"Common, Orcish","Athletics +8, Intimidation +6, Survival +5",+4,+2,+1,-1,+1,+2,19,+7,+6,+7,32,,25 feet,Bestiary pg. 257
327,Otyugh,4,N,Large,Aberration,"+10; darkvision, scent (imprecise) 30 feet",Common,"Acrobatics +8, Athletics +14, Stealth +8 (+11 in lair)",+6,+2,+4,-2,+2,-2,20,+12,+8,+10,70,,20 feet,Bestiary pg. 258
328,Owlbear,4,N,Large,Animal,"+13; low-light vision, scent (imprecise) 30 feet",UNKNOWN,"Acrobatics +7, Athletics +14, Intimidation +10",+6,+1,+5,-4,+3,+0,21,+13,+7,+11,70,,25 feet,Bestiary pg. 259
329,Pegasus,3,,Large,Beast,"+12; , ( ) 30 feet","Common, ; (can't speak any language)","Acrobatics +11, Athletics +10",+3,+4,+2,+0,+2,+3,18,+9,+11,+7,55,,"40 feet, fly 80 feet",Monster Core pg. 261
330,Phoenix,15,,Gargantuan,"Beast, Fire","+27; , ,","Common, Empyrean, Pyric, Sussuran","Acrobatics +30, Athletics +27, Diplomacy +31, Intimidation +27, Nature +25",+6,+7,+5,+7,+6,+6,36,+27,+31,+28; +1 status to all saves vs.,300 regeneration 20 (deactivated by,,"25 feet, fly 70 feet",Monster Core pg. 264
331,Tiefling,3,CE,Medium,"Human, Humanoid, Tiefling",+6; darkvision,"Abyssal, Common","Abyss Lore +9, Acrobatics +7, Arcana +9, Deception +9, Intimidation +7, Occultism +9, Religion +6, Society +9, Stealth +7",+0,+2,+0,+4,+1,+2,17,+5,+7,+8,29,,25 feet,Bestiary pg. 262
332,Duskwalker,4,,Medium,"Duskwalker, Human, Humanoid",+10;,"Common, Necril","Acrobatics +10, Athletics +8, Deception +6, Intimidation +6, Nature +8, Stealth +12, Survival +8",+2,+4,+1,+0,+2,+0,21 (22 against prey),+9,+12,+10; +1 status to all saves vs.,56,,25 feet,Monster Core pg. 266
333,Aasimar,5,NG,Medium,"Aasimar, Human, Humanoid",+11; darkvision,"Celestial, Common","Athletics +11, Diplomacy +12, Medicine +9, Religion +11, Society +7",+4,+1,+3,+0,+2,+3,23 (25 with shield raised),+12,+8,+11; +1 status to all saves vs. disease (against diseases critical failures become failures),73,,20 feet,Bestiary pg. 263
334,Poltergeist,5,,Medium,"Incorporeal, Spirit, Undead, Unholy",+11;,Common,"Acrobatics +14, Intimidation +15, Stealth +14",-5,+5,+0,-1,+2,+4,22,+9,+14,+13,55 (,all damage 5 (except,fly 20 feet,Monster Core pg. 268
335,Poracha,4,,Medium,Beast,"+10; ( ) 10 feet,","Common, Fey","Acrobatics +13, Athletics +9, Deception +11, Diplomacy +11, Stealth +13, Survival +10",+3,+5,+3,+0,+2,+3,23,+9,+13,+10,50,,40 feet,Monster Core pg. 269
336,Voidworm,1,,Tiny,"Monitor, Protean","+4; entropy sense ( ) 30 feet,","Chthonian, Protean","Acrobatics +7, Deception +6, Religion +4, Stealth +7",-1,+4,+0,-1,-1,+1,17,+5,+9,+6,16 (,precision 3 protean anatomy 5,"20 feet, fly 40 feet;",Monster Core pg. 270
337,Naunet,7,CN,Large,"Monitor, Protean","+14; entropy sense (imprecise) 30 feet, darkvision","Abyssal, Celestial, Protean","Acrobatics +14, Athletics +16, Intimidation +16, Stealth +14, Survival +12",+5,+3,+5,+0,+3,+3,24,+18,+14,+12; +1 status to all saves vs. magic,120 (,precision 5 protean anatomy 10,"25 feet, fly 30 feet, swim 25 feet;",Bestiary pg. 267
338,Keketar,17,,Large,"Monitor, Protean","+30; entropy sense ( ) 60 feet,","Chthonian, Empyrean, Protean, telepathy, 100 feet,, truespeech","Acrobatics +26, Athletics +33, Deception +32, Diplomacy +34, Intimidation +34, Religion +30, Stealth +30",+8,+5,+7,+5,+7,+7,40,+30,+28,+34; +1 status to all saves vs.,260 (,precision 10 protean anatomy 25,"40 feet, fly 50 feet, swim 40 feet;",Monster Core pg. 272
339,Nosoi,1,,Tiny,Psychopomp,"+6; , 60 feet","Chthonian, Diabolic, Empyrean, Requian","Acrobatics +6, Boneyard Lore +8, Library Lore +8, Performance +6, Religion +6, Society +2, Stealth +6",-1,+3,+1,+1,+1,+3,16,+4,+8,+6,18,,"15 feet, fly 40 feet",Monster Core pg. 274
340,Morrigna,15,,Medium,"Monitor, Psychopomp","+28; , 60 feet","Chthonian, Diabolic, Empyrean, Necril, Requian, speak with animals, truespeech","Athletics +27, Boneyard Lore +28, Diplomacy +27, Intimidation +29, Religion +29, Society +24, Stealth +27",+8,+4,+4,+3,+6,+4,38,+25,+27,+29; +1 status to all saves vs.,240 regeneration 20 (deactivated by,,"30 feet, climb 30 feet",Monster Core pg. 276
341,Pteranodon,2,,Large,Animal,"+8; , ( ) 30 feet",UNKNOWN,"Acrobatics +10, Athletics +7",+3,+4,+1,-4,+2,-1,16,+7,+10,+6,25,,"10 feet, fly 40 feet",Monster Core pg. 278
342,Quetzalcoatlus,7,,Huge,Animal,"+15; , ( ) 30 feet",UNKNOWN,"Acrobatics +14, Athletics +17",+6,+4,+3,-4,+2,-1,25,+16,+17,+12,110,,"15 feet, fly 50 feet",Monster Core pg. 278
343,Quelaunt,15,,Large,Aberration,+29; ( ) 60 feet,"Aklo, ; (can't speak any language);, telepathy, 100 feet","Deception +30, Intimidation +30, Occultism +27",+6,+5,+4,+5,+6,+8,36,+27,+26,+31 (+33 vs.,305,,40 feet;,Monster Core pg. 285
344,Dandasuka,5,LE,Small,"Fiend, Rakshasa",+12; darkvision,"Common, Infernal, Undercommon","Acrobatics +13, Deception +14, Stealth +13, Thievery +13",+1,+4,+3,+1,+1,+3,23,+12,+13,+10; +2 status to all saves vs. magic +3 status to all saves vs. divine magic,60,physical 5 (except piercing),"25 feet, climb 20 feet",Bestiary pg. 274
345,Raja-Kroodha,10,,Medium,"Rakshasa, Spirit, Unholy",+18;,"Chthonian, Common, Diabolic, Empyrean, Sakvroth","Athletics +19, Deception +21, Diplomacy +21, Intimidation +21, Performance +19, Religion +18, Stealth +23",+6,+6,+4,+2,+2,+5,30,+18,+20,+18; +2 status to all saves vs.,180,,35 feet,Monster Core pg. 287
346,Giant Rat,-1,N,Small,Animal,"+5; low-light vision, scent (imprecise) 30 feet",UNKNOWN,"Acrobatics +5, Athletics +2 (+4 to Climb or Swim), Stealth +5",+1,+3,+2,-4,+1,-3,15,+6,+7,+3,8,,"30 feet, climb 10 feet",Bestiary pg. 276
347,Rat Swarm,1,,Large,"Animal, Swarm","+5; , ( ) 30 feet",UNKNOWN,"Acrobatics +8, Athletics +4 (+6 to, Climb or, Swim ), Stealth +6",-2,+3,+1,-4,+1,-3,14,+2,+7,+4,14,physical 6 (except bludgeoning),"30 feet, climb 10 feet",Monster Core pg. 288
348,Ratfolk Grenadier,4,,Medium,"Humanoid, Ratfolk",+10;,Common,"Acrobatics +9, Crafting +12, Deception +7, Society +10, Stealth +12, Thievery +9",+0,+4,+2,+4,+2,+1,21,+11,+13,+9,60,,25 feet,Monster Core pg. 289
349,Redcap,5,,Small,Fey,+12;,"Common, Fey","Acrobatics +13, Athletics +15, Deception +11, Intimidation +13, Nature +10, Stealth +13",+4,+4,+2,+1,+1,+2,21,+11,+15,+10,60 (,,50 feet,Monster Core pg. 290
351,Remorhaz,7,N,Huge,Beast,"+14; darkvision, tremorsense (imprecise) 60 feet","Jotun, ; (can’t speak any language)","Athletics +18, Stealth +13",+7,+2,+5,-3,+1,-2,25,+18,+15,+10,120,,"35 feet, burrow 30 feet",Bestiary pg. 280
352,Roc,9,,Gargantuan,Animal,+18;,UNKNOWN,"Acrobatics +15, Athletics +21",+8,+2,+5,-4,+1,+0,27,+20,+17,+16,180,,"20 feet, fly 60 feet",Monster Core pg. 294
353,Roper,10,CE,Large,Aberration,+21; darkvision,"Aklo, Undercommon","Athletics +22, Nature +17 (+21 about caves), Religion +19, Stealth +17 (+25 in stony or icy areas)",+6,+1,+6,+1,+3,+1,29,+20,+15,+21; +2 status to all saves vs. magic,215,electricity 10,"10 feet, climb 10 feet",Bestiary pg. 282
354,Rust Monster,3,N,Medium,Aberration,"+8; darkvision, metal scent 30 feet",UNKNOWN,Athletics +7 (+13 to Disarm a metal item),+0,+3,+1,-4,+1,+0,19,+8,+10,+6,40,,"35 feet, climb 10 feet",Bestiary pg. 283
355,Satyr,4,,Medium,Fey,+10;,"Common, Fey","Athletics +8, Deception +13, Diplomacy +13, Intimidation +11, Nature +9, Performance +13, Stealth +11, Survival +8",+3,+4,+1,+1,+2,+5,19,+9,+11,+12,80,,35 feet,Monster Core pg. 296
356,Giant Scorpion,3,,Large,Animal,"+9; , ( ) 60 feet",UNKNOWN,"Athletics +11, Stealth +7",+4,+2,+3,-5,+2,-4,18,+12,+9,+7,45,,40 feet,Monster Core pg. 298
357,Scorpion Swarm,4,,Large,"Animal, Swarm",+11;,UNKNOWN,"Acrobatics +11, Athletics +6, Stealth +11",+0,+5,+2,-5,+0,-4,21,+10,+13,+8,55,bludgeoning 3 piercing 7 slashing 7,25 feet,Monster Core pg. 298
358,Sea Devil Scout,2,LE,Medium,"Amphibious, Humanoid, Sea Devil","+9; darkvision, wavesense 30 feet","Aquan, ; shark commune 150 feet","Athletics +9 (+11 to Swim), Intimidation +5, Stealth +8, Survival +7",+3,+4,+1,+0,+3,-1,18,+7,+10,+7,30,,"25 feet, swim 35 feet",Bestiary pg. 286
359,Sea Devil Brute,4,LE,Medium,"Amphibious, Humanoid, Sea Devil","+7; darkvision, wavesense 30 feet","Aquan, ; shark commune 150 feet","Athletics +12 (+15 to Swim), Intimidation +9, Survival +9",+4,+1,+3,+0,+1,+0,21,+13,+11,+9,60,,"25 feet, swim 35 feet",Bestiary pg. 287
360,Sea Devil Baron,6,LE,Medium,"Amphibious, Humanoid, Mutant, Sea Devil","+13; darkvision, wavesense 30 feet","Aquan, ; shark commune 150 feet","Athletics +15 (+18 to Swim), Intimidation +12, Stealth +12, Survival +11",+5,+2,+4,+0,+3,+2,24,+16,+14,+13,95,,"25 feet, swim 35 feet",Bestiary pg. 287
361,Sea Serpent,12,,Gargantuan,"Animal, Aquatic",+22;,UNKNOWN,"Acrobatics +18, Athletics +26 (+28 to, Swim ), Stealth +28",+8,+4,+6,-4,+2,+0,35,+25,+21,+21,210,,"20 feet, swim 60 feet",Monster Core pg. 299
362,Shadow,4,,Medium,"Incorporeal, Undead, Unholy",+10;,Necril,"Acrobatics +10, Stealth +14",-5,+4,+0,-2,+2,+3,20,+8,+14,+12,40 (,all 5 (except,fly 30 feet,Monster Core pg. 306
363,Greater Shadow,7,,Medium,"Incorporeal, Undead, Unholy",+14;,Necril,"Acrobatics +16, Stealth +20",-5,+5,+0,+0,+2,+4,24,+11,+18,+15,75 (,all 10 (except,fly 30 feet,Monster Core pg. 306
364,Shambler,6,N,Large,Plant,+12; darkvision,"Common, Elven, Sylvan, ; (can’t speak any language)","Athletics +16, Stealth +12 (+18 in forests or swamps)",+6,+1,+5,-2,+2,-1,22,+17,+11,+14,120,fire 5,"20 feet, swim 20 feet",Bestiary pg. 290
365,Great White Shark,4,,Large,"Animal, Aquatic","+11; blood scent, ( ) 100 feet",UNKNOWN,"Athletics +14, Stealth +12, Survival +9",+6,+2,+4,-4,+1,-4,21,+12,+10,+9,60,,swim 40 feet,Monster Core pg. 307
366,Megalodon,9,,Gargantuan,"Animal, Aquatic","+20; blood scent, ( ) 100 feet",UNKNOWN,"Athletics +21, Stealth +19, Survival +16",+8,+2,+5,-4,+3,-2,27,+21,+16,+17,180,,swim 80 feet,Monster Core pg. 307
367,Shining Child,12,N,Medium,Astral,+23;,"Aklo, telepathy, 120 feet","Arcana +18, Deception +23, Diplomacy +21, Intimidation +21, Occultism +18",+2,+5,+6,+2,+5,+7,33,+22,+19,+19,215,,"30 feet, fly 50 feet",Monster Core pg. 308
368,Shoggoth,18,CN,Huge,"Aberration, Amphibious","+34; darkvision, scent (imprecise) 60 feet, tremorsense (imprecise) 60 feet",Aklo,"Athletics +36, Intimidation +29",+10,+6,+9,-3,+6,+1,39 all-around vision,+33,+30,+30; +1 status to all saves vs. magic,275 (,acid 20 cold 20 sonic 20,"40 feet, climb 25 feet, swim 50 feet",Bestiary pg. 293
369,Shuln,12,,Huge,Beast,"+20; 30 feet, ( ) 60 feet",UNKNOWN,"Athletics +25, Survival +22",+7,+4,+6,-3,+4,+1,33,+25,+19,+21,195,physical 10 (except,"40 feet, burrow 20 feet; unstoppable burrow",Monster Core pg. 309
370,Simurgh,18,NG,Gargantuan,Beast,+32; darkvision,"Celestial, Common, Draconic, tongues","Acrobatics +27, Arcana +28, Athletics +32, Diplomacy +34, Medicine +35, Performance +28, Religion +35, Survival +32",+8,+3,+6,+3,+6,+5,41,+30,+29,+32; +1 status bonus to all saves vs. magic,350,,"40 feet, fly 90 feet",Bestiary pg. 295
371,Sinspawn,2,,Medium,Aberration,"+10; , sin scent ( ) 30 feet",Aklo,"Acrobatics +9, Athletics +8, Stealth +9, Survival +6",+4,+3,+4,+0,+2,+1,16,+10,+9,+6; +1 status to saves vs.,30,,30 feet,Monster Core pg. 311
373,Skeletal Champion,2,,Medium,"Skeleton, Undead, Unholy",+8;,"Common, Necril","Acrobatics +8, Athletics +8, Intimidation +7",+4,+4,+1,-1,+2,+1,19 (21 with shield raised),+5,+10,+6,25 (,,25 feet,Monster Core pg. 312
374,Skeletal Horse,2,,Large,"Mindless, Skeleton, Undead, Unholy",+8;,UNKNOWN,"Acrobatics +7, Athletics +9",+5,+3,+2,-5,+2,+0,16,+6,+9,+8,33 (,,40 feet,Monster Core pg. 313
375,Skeletal Giant,3,,Large,"Mindless, Skeleton, Undead, Unholy",+7;,UNKNOWN,"Athletics +12, Intimidation +9",+5,+1,+3,-5,+0,+2,17,+8,+8,+7,50 (,,30 feet,Monster Core pg. 313
376,Skeletal Hulk,7,,Huge,"Mindless, Skeleton, Undead, Unholy",+16;,UNKNOWN,"Athletics +20, Intimidation +15",+7,+2,+4,-5,+2,+2,25,+15,+15,+13,105 (,,30 feet,Monster Core pg. 313
377,Skulltaker,18,,Huge,"Undead, Unholy","+33; ,","Necril, ; Skeletal Lore languages","Acrobatics +34, Intimidation +35, Religion +30, Skeletal Lore +30, Stealth +32",+8,+6,+6,+2,+8,+7,42,+31,+33,+35; +1 status to all saves vs.,300 (,piercing 15 slashing 15,"30 feet, fly 60 feet",Monster Core pg. 314
378,Slurk,2,,Medium,Animal,+6;,UNKNOWN,"Acrobatics +6 (+8 to, Escape ), Athletics +8, Stealth +5",+4,+2,+4,-4,+0,+0,17,+10 (+12 vs.,+6,+4,35,,"30 feet, climb 30 feet",Monster Core pg. 315
379,Viper,-1,,Tiny,Animal,"+5; , ( ) 30 feet",UNKNOWN,"Acrobatics +5, Athletics +1 (+4 to, Climb ), Stealth +5, Survival +3",-3,+4,+0,-4,+1,-2,14,+2,+7,+5,8,,"20 feet, climb 20 feet, swim 20 feet",Monster Core pg. 316
380,Python,1,,Medium,Animal,"+6; , ( ) 30 feet",UNKNOWN,"Acrobatics +6, Athletics +6, Stealth +6, Survival +4",+3,+3,+3,-4,+1,-2,15,+8,+10,+4,20,,"20 feet, climb 20 feet, swim 20 feet",Monster Core pg. 316
381,Giant Viper,2,,Medium,Animal,"+7; , ( ) 30 feet",UNKNOWN,"Acrobatics +9, Athletics +8, Stealth +8, Survival +6",+3,+4,+3,-4,+1,-2,17,+8,+11,+6,26,,"20 feet, climb 20 feet, swim 20 feet",Monster Core pg. 317
382,Giant Anaconda,8,,Huge,Animal,"+17; , ( ) 60 feet",UNKNOWN,"Acrobatics +15, Athletics +21, Stealth +15, Survival +15",+7,+3,+6,-4,+3,-2,25,+20,+17,+15,175,,"30 feet, climb 30 feet, swim 30 feet",Monster Core pg. 317
383,Soulbound Doll,2,Any,Tiny,"Construct, Soulbound",+8; darkvision,one spoken by its creator (typically Common),"Acrobatics +8, Occultism +4, Stealth +8",-2,+4,+3,+0,+2,+0,20,+7,+10,+6,23,,20 feet,Bestiary pg. 304
384,Sphinx,8,,Large,"Beast, Humanoid",+18;,"Common, Draconic, Sphinx, truespeech","Arcana +17, Athletics +18, Bardic Lore +19, Deception +16, Diplomacy +16, Intimidation +18, Occultism +17",+6,+1,+3,+5,+4,+4,27,+16,+14,+19,135,,"35 feet, fly 40 feet",Monster Core pg. 319
386,Hunting Spider,1,,Medium,Animal,"+7; , web sense",UNKNOWN,"Acrobatics +7, Athletics +5, Stealth +7",+2,+4,+1,-5,+2,-4,17,+6,+9,+5,16,,"25 feet, climb 25 feet",Monster Core pg. 320
387,Giant Tarantula,6,,Large,Animal,+14;,UNKNOWN,"Acrobatics +9, Athletics +16, Stealth +11",+6,+1,+5,-5,+2,-4,21,+15,+13,+10,135,,"30 feet, climb 30 feet",Monster Core pg. 321
388,Goliath Spider,11,,Gargantuan,Animal,"+22; , web sense",UNKNOWN,"Acrobatics +18, Athletics +23, Stealth +22",+8,+5,+7,-5,+3,-4,30,+25,+21,+17,220,,"45 feet, climb 30 feet",Monster Core pg. 321
389,Sprite,-1,,Tiny,"Fey, Sprite",+4;,"Common, Fey","Acrobatics +6, Stealth +6",-3,+4,+0,-2,+0,+2,15,+2,+8,+4,7,,"10 feet, fly 40 feet",Monster Core pg. 322
390,Grig,1,CN,Tiny,"Fey, Sprite",+7; low-light vision,"Common, Sylvan","Acrobatics +7, Athletics +2 (6 to High Jump or Long Jump), Performance +7, Stealth +7",-2,+4,+1,+0,+2,+4,17,+6,+9,+9,20,,"25 feet, fly 30 feet",Bestiary pg. 308
391,Pixie,4,,Small,"Fey, Sprite",+12;,"Common, Fey","Acrobatics +13, Deception +11, Nature +10, Stealth +11",-1,+5,+1,+3,+2,+3,23,+8,+14,+12; +1 status to all saves vs.,40,,"15 feet, fly 45 feet",Monster Core pg. 323
392,Tengu Sneak,2,,Medium,"Humanoid, Tengu",+6;,"Common, Tengu, ; plus two others","Acrobatics +8, Athletics +6, Deception +7, Diplomacy +5, Society +5, Stealth +8, Thievery +8",+2,+4,+1,+1,+0,+1,19,+7,+10,+4,27,,25 feet,Monster Core pg. 325
393,Terotricus,19,,Gargantuan,"Fungus, Unholy","+31; , ( ) 120 feet","Chthonian, Elven, Fey","Athletics +37, Deception +32, Intimidation +35, Nature +31, Survival +31",+10,+5,+9,-1,+6,+5,42,+34,+28,+33; +1 status to all saves vs.,370 regeneration 25 (deactivated by,,"35 feet; burrow 25 feet, climb 25 feet, swim 35 feet",Monster Core pg. 326
394,Treerazer,25,,Huge,"Amphibious, Demon, Fiend, Unholy","+46; ,","Chthonian, Common, Elven, Fey, telepathy, 300 feet","Acrobatics +40, Arcana +38, Athletics +45, Intimidation +46, Nature +49, Occultism +38, Religion +45, Stealth +40",+12,+9,+11,+7,+8,+8,54,+42,+40,+43,550 regeneration 50 (deactivated by,,"60 feet, fly 60 feet, swim 40 feet;",Monster Core pg. 328
395,Troll,5,CE,Large,"Giant, Troll",+11; darkvision,Jotun,"Athletics +12, Intimidation +12",+5,+2,+6,-2,+0,-2,20,+17,+11,+7,115 regeneration 20 (deactivated by acid or fire),,30 feet,Bestiary pg. 314
396,Troll Warleader,10,,Large,"Giant, Humanoid, Troll, Wood",+19;,Jotun,"Athletics +21, Crafting +15, Intimidation +22, Nature +17, Survival +17",+7,+3,+7,-1,+1,+4,29 (26 plus,+23,+17,+15,240 regeneration 20 (deactivated by,,30 feet,Monster Core pg. 331
397,Unicorn,3,,Large,"Beast, Fey, Holy","+13; , ( ) 30 feet","Common, Fey","Acrobatics +10, Diplomacy +11, Stealth +8, Survival +9",+4,+3,+3,+0,+4,+4,20,+10,+8,+11 (+2 vs.,45,,45 feet,Monster Core pg. 333
398,Uthul,14,CE,Huge,"Air, Elemental",+20; darkvision,Auran,"Acrobatics +29, Athletics +27, Intimidation +23, Stealth +25",+7,+7,+4,-1,-2,+3,36,+28,+29,+22,250,,fly 100 feet; swiftness,Bestiary pg. 317
399,Vampire Servitor,4,,Medium,"Undead, Unholy, Vampire",+12;,"Common, ; plus one regional language","Acrobatics +11, Athletics +9, Intimidation +8, Society +5, Stealth +12",+3,+5,+1,-1,+3,+2,22,+9,+13,+11,40 (coffin restoration,The vampire resists all physical damage except magical silver.,"25 feet, climb 25 feet",Monster Core pg. 336
